Sample;;;;;;;13C4-PFBA Results;;;;;13C3-PFBA (ISTD) Results;PFBA Results;;;;;13C4-PFBA (ISTD) Results;13C5-PFPeA Results;;;;;13C2-PFHxA (ISTD) Results;PFPeA Results;;;;;13C5-PFPeA (ISTD) Results;4:2 FTS Results;;;;;13C2-4:2FTS (ISTD) Results;13C2-4:2FTS Results;;;;;18O2-PFHxS (ISTD) Results;13C5-PFHxA Results;;;;;13C2-PFHxA (ISTD) Results;PFHxA Results;;;;;13C5-PFHxA (ISTD) Results;13C3-PFBS Results;;;;;18O2-PFHxS (ISTD) Results;PFBS Results;;;;;13C3-PFBS (ISTD) Results;HFPO-DA Results;;;;;13C3-HFPO-DA (ISTD) Results;13C3-HFPO-DA Results;;;;;13C2-PFHxA (ISTD) Results;13C4-PFHpA Results;;;;;13C2-PFHxA (ISTD) Results;PFPHpA Results;;;;;13C4-PFHpA (ISTD) Results;PFPeS Results;;;;;13C3-PFHxS (ISTD) Results;ADONA Results;;;;;13C3-HFPO-DA (ISTD) Results;13C2-6:2FTS Results;;;;;18O2-PFHxS (ISTD) Results;6:2 FTS Results;;;;;13C2-6:2FTS (ISTD) Results;PFOA Results;;;;;13C8-PFOA (ISTD) Results;13C8-PFOA Results;;;;;13C4-PFOA (ISTD) Results;13C3-PFHxS Results;;;;;18O2-PFHxS (ISTD) Results;PFHxS Results;;;;;13C3-PFHxS (ISTD) Results;13C9-PFNA Results;;;;;13C5-PFNA (ISTD) Results;PFNA Results;;;;;13C9-PFNA (ISTD) Results;PFHpS Results;;;;;13C8-PFOS (ISTD) Results;8:2 FTS Results;;;;;13C2-8:2FTS (ISTD) Results;13C2-8:2FTS Results;;;;;18O2-PFHxS (ISTD) Results;PFDA Results;;;;;13C6-PFDA (ISTD) Results;13C6-PFDA Results;;;;;13C2-PFDA (ISTD) Results;NMeFOSAA Results;;;;;D3-NMeFOSAA (ISTD) Results;D3-NMeFOSAA Results;;;;;13C4-PFOS (ISTD) Results;PFOS Results;;;;;13C8-PFOS (ISTD) Results;13C8-PFOS Results;;;;;13C4-PFOS (ISTD) Results;NEtFOSAA Results;;;;;D5-NEtFOSAA (ISTD) Results;D5-NEtFOSAA Results;;;;;13C4-PFOS (ISTD) Results;PFUnA Results;;;;;13C7-PFUnA (ISTD) Results;13C7-PFUnA Results;;;;;13C2-PFDA (ISTD) Results;9Cl-PF3ONS Results;;;;;13C3-HFPO-DA (ISTD) Results;PFNS Results;;;;;13C8-PFOS (ISTD) Results;13C2-PFDoA Results;;;;;13C2-PFDA (ISTD) Results;PFDoA Results;;;;;13C2-PFDoA (ISTD) Results;PFDS Results;;;;;13C8-PFOS (ISTD) Results;PFTrDA Results;;;;;13C2-PFTeDA (ISTD) Results;11Cl-PF3OUdS Results;;;;;13C3-HFPO-DA (ISTD) Results;PFTeDA Results;;;;;13C2-PFTeDA (ISTD) Results;13C2-PFTeDA Results;;;;;13C2-PFDA (ISTD) Results;PFOSA Results;;;;;13C8-PFOSA (ISTD) Results;13C8-PFOSA Results;;;;;13C4-PFOS (ISTD) Results;NMeFOSE Results;;;;;D7-NMeFOSE (ISTD) Results;D7-NMeFOSE Results;;;;;13C4-PFOS (ISTD) Results;NMeFOSA Results;;;;;D3-NMeFOSA (ISTD) Results;D3-NMeFOSA Results;;;;;13C4-PFOS (ISTD) Results;NEtFOSE Results;;;;;D9-NEtFOSE (ISTD) Results;NEtFOSA Results;;;;;D5-NEtFOSA (ISTD) Results;D9-NEtFOSE Results;;;;;13C4-PFOS (ISTD) Results;D5-NEtFOSA Results;;;;;13C4-PFOS (ISTD) Results
;;Name;Data File;Type;Level;Acq. Date-Time;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.;RT;Final Conc.;Accuracy;Resp.;S/N;Resp.
!;!;Rinse;TestQC1.d;Sample;;12-12-2025 14:47;3.142;3.7646;;2;;2;3.194;7.6553;;1;3.24;2;4.213;0.578;;1;18.17;3;4.628;175.7577;;15;3.3;1;4.806;0.0508;;2;;37;4.794;457.0845;;37;6.36;2;;;;;;3;;;;;;;5.036;0.6267;;2;5.75;2;4.9;29.8197;;11;1.85;2;5.08;5.9518;;1;2.25;2;5.06;3.3513;;2;11.96;3;5.111;263.0858;;255;94.68;3;5.435;0.0793;;6;1.18;255;5.627;0.6736;;0;1.82;2;5.269;1139.6664;;441;40.67;2;5.627;36.7638;;2;3.4;2;;;;;;2;;;;;;14;5.852;3.5865;;14;3.06;1;5.917;1.6438;;2;77.2;2;;;;;;2;6.108;1.0767;;1;0.75;1;6.103;24.2996;;13;1.68;1;6.498;1.0452;;1;;4;6.43;2.8059;;2;1.01;1;6.426;20.0061;;1;14.97;2;6.555;0.0173;;6;6.01;651;6.953;174.4132;;651;44.21;2;;;;;;5;6.586;4.1429;;5;7.95;10;6.671;5.9664;;6;10.89;4;6.679;0.8755;;4;1.8;10;6.755;19.5602;;13;1.46;5;6.756;4.5423;;5;3.02;10;6.861;0.8017;;3;10.95;6;6.789;2.0178;;6;2.98;2;6.996;2.7961;;2;;2;;;;;;4;7.239;0.3233;;1;2.07;2;7.302;4.0027;;2;15.37;1;7.401;1.0008;;1;;4;7.576;2.3322;;1;;1;7.719;2.5592;;1;1.75;2;7.957;6.6591;;3;16.99;1;7.945;0.2528;;1;8.07;2;;;;;;0;8.475;0.0125;;0;6.5;10;9.709;32.0677;;2;1.85;2;9.773;1.3986;;2;3.82;10;;;;;;0;9.871;0.1066;;0;12.49;10;;;;;;84;10.108;60.2777;;12;0.82;1;10.155;48.8775;;84;11.19;10;10.212;0.3556;;1;4.62;10
!;!;Blank;TestQC2.d;Sample;;12-12-2025 15:03;3.158;10.0652;;30175;5859.57;11286;3.178;0.0051;;10;5.1;30175;4.255;5.4426;;13261;29742;6025;4.25;0.0062;;10;9.11;13261;;;;;;237;4.712;5.2356;;237;275.68;1373;4.883;2.588;;7603;8114.53;6025;4.88;0.0047;;11;1.25;7603;4.921;2.2491;;3096;5976.77;1373;4.933;0.0027;;2;3.98;3096;5.056;0.0058;;6;19.21;14549;5.068;9.9712;;14549;2939.15;6025;5.358;2.1027;;4241;151.41;6025;5.353;0.0127;;16;1.4;4241;5.248;0.0052;;3;15.33;1925;5.5;0.0043;;10;36.07;14549;5.611;4.9964;;152;80.6;1373;;;;;;152;;;;;;3583;5.77;1.4021;;3583;726.54;366;5.908;2.3587;;1925;7052.11;1373;5.878;0.0122;;6;25.24;1925;6.149;1.3898;;1589;129.09;1231;6.103;0.0102;;9;29.21;1589;6.284;0.0021;;1;;1917;6.225;0.0054;;1;;258;6.344;9.23;;258;955.05;1373;6.514;0.0074;;10;1.19;2521;6.527;1.4268;;2521;388.78;946;;;;;;1105;6.594;4.7738;;1105;309.88;1873;6.671;0.0421;;20;6.76;1917;6.679;2.2633;;1917;5151.45;1873;;;;;;1139;6.756;5.7633;;1139;2615.01;1873;6.959;0.0284;;22;0.96;1225;6.888;0.8831;;1225;356.15;946;6.987;0.0011;;5;20.2;14549;;;;;;1917;7.239;0.1565;;229;28.15;946;7.351;0.0175;;2;0.87;229;7.434;0.004;;2;5.65;1917;7.594;0.0227;;1;;90;7.694;0.0066;;16;20.33;14549;7.972;0.0432;;2;;90;7.928;0.0549;;90;51.83;946;8.431;0.0068;;12;32.32;6533;8.5;2.2892;;6533;51084.84;1873;9.709;0.0085;;2;1.71;8377;9.781;26.8492;;8377;6805.7;1873;9.807;0.0057;;3;7.52;1343;9.913;1.8334;;1343;29049.66;1873;10.071;0.0684;;18;1.82;9436;10.108;0.0532;;11;1.08;1374;10.13;28.6172;;9436;2968.68;1873;10.245;1.852;;1374;242.22;1873
;!;QC_CS5;TestQC3.d;QC;L5;12-12-2025 15:18;3.092;10.0436;;26127;4737.2;9793;3.094;23.9566;;40881;2490.52;26127;4.246;6.1606;;13482;1989.78;5411;4.25;11.5583;;19784;6801.65;13482;4.707;12.3451;;2721;9151.57;207;4.703;5.4732;;207;256.05;1147;4.883;2.591;;6837;2120.46;5411;4.88;6.8836;;14303;3593.7;6837;4.913;2.4293;;2794;5006.08;1147;4.916;6.3497;;4242;6203.93;2794;5.064;24.6815;;22506;6375.26;12779;5.06;9.7512;;12779;2438.95;5411;5.358;1.8918;;3427;204.75;5411;5.361;5.9909;;6077;1808.51;3427;5.462;6.54;;3070;4112.24;1656;5.516;26.1047;;54789;7641.74;12779;5.603;4.4851;;114;114.74;1147;5.68;16.5429;;1702;3585.01;114;5.704;5.45;;3763;42.78;2645;5.77;1.4837;;2645;378.42;255;5.9;2.429;;1656;3845.04;1147;5.878;6.039;;2341;374.09;1656;6.149;1.3161;;1028;65.28;841;6.103;5.6182;;3055;217.69;1028;6.309;7.3366;;2818;1424.16;1552;6.348;3.7482;;358;136.01;134;6.344;5.7378;;134;324.99;1147;6.514;5.4248;;3810;1441.88;1317;6.519;1.3858;;1317;264.48;509;6.53;5.8174;;452;302.21;665;6.586;3.7219;;665;673.84;1446;6.671;5.716;;2192;210.55;1552;6.679;2.3744;;1552;986.59;1446;6.755;4.5401;;373;29.47;596;6.756;3.906;;596;1606.4;1446;6.877;4.1294;;1695;469.09;649;6.879;0.8697;;649;100.54;509;6.971;21.6835;;84176;9825.24;12779;7.068;6.2061;;2642;4007.39;1552;7.239;0.3074;;242;14.59;509;7.236;4.6644;;564;392.13;242;7.426;5.6288;;2258;424.6;1552;7.585;5.8482;;346;123.71;121;7.694;19.059;;40418;4644.79;12779;7.924;2.4935;;155;55.16;121;7.928;0.1371;;121;25.6;509;8.431;5.8668;;8397;538.05;5198;8.492;2.3596;;5198;12597.24;1446;9.709;58.5159;;12098;475.66;7305;9.781;30.3319;;7305;4590.54;1446;9.807;6.4786;;3648;191.14;1294;9.913;2.2886;;1294;225.21;1446;10.071;58.2834;;12943;272.97;7994;10.108;5.8392;;1116;108.98;1304;10.13;31.4107;;7994;7069.52;1446;10.245;2.2763;;1304;229.39;1446
!;!;Rinse;TestQC4.d;Sample;;12-12-2025 15:34;2.983;3.7646;;1;;1;3.161;15.3107;;1;10.59;1;4.271;1.0671;;0;7.68;1;4.469;15.4824;;1;2.03;0;4.691;0.9391;;1;;1;4.712;65.7698;;1;;0;;;;;;1;;;;;;;4.697;4.9628;;2;10.27;0;5.04;3.6453;;2;;2;5.254;12.0355;;1;8.89;1;5.242;4.2074;;1;10.38;1;5.292;60.889;;23;3.01;1;5.37;0.2901;;2;11.74;23;5.511;0.9054;;0;2.72;1;5.558;14.3713;;3;73.84;1;5.586;97.8639;;1;;0;;;;;;1;5.704;59.4533;;77;2.63;5;5.795;0.8754;;5;2.98;1;5.941;3.7533;;1;3.86;0;;;;;;1;6.199;0.5384;;1;5.7;2;6.103;4.2428;;2;0.91;1;6.399;;;1;;;6.29;1.403;;1;;1;6.394;106.5111;;1;;0;6.653;1.3857;;1;7.17;1;6.486;0.7248;;1;3.36;1;;;;;;0;6.603;;;0;;;;;;;;;;;;;;;6.755;;;13;2.33;;;;;;;;6.885;0.882;;3;8.55;5;6.871;3.6683;;5;11.31;1;7.069;2.827;;1;;1;;;;;;;7.413;1.9396;;3;3.86;1;7.22;1.3342;;2;0.55;3;7.319;;;1;;;7.51;2.1674;;3;2.74;3;7.529;5.1751;;1;;1;7.907;0.6876;;1;4.23;3;7.904;1.6324;;3;10.48;1;;;;;;0;8.492;;;0;5.68;;;;;;;1;9.856;;;1;8.34;;;;;;;0;10.087;;;0;5.26;;10.071;35.1986;;2;2.17;2;10.108;94.0586;;3;3.51;0;10.106;;;2;2.98;;10.27;;;0;6.95;
!;!;STAND BY;TestQC5.d;Sample;;12-12-2025 15:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;!;CS1;TestCalib_09122025_3.d;Cal;L1;12-9-2025 12:32;3.133;9.9367;99.4;21082;5475.88;7987;3.136;0.8272;103.4;1139;44.6;21082;4.271;4.834;96.7;10415;1588.84;5328;4.267;0.4291;107.3;567;297.26;10415;4.732;0.8852;110.6;82;290.55;174;4.728;4.3169;86.3;174;194.67;1223;4.883;2.55;102;6624;6432.93;5328;4.88;0.2017;100.8;406;76.83;6624;4.929;2.3619;94.5;2895;4498.32;1223;4.933;0.2268;113.4;157;140.9;2895;5.08;0.8685;108.6;827;278.43;13345;5.085;10.3426;103.4;13345;17098.38;5328;5.382;2.5322;101.3;4516;24127.04;5328;5.378;0.2147;107.3;287;14.74;4516;5.47;0.2706;135.3;133;322.46;1739;5.532;0.7737;96.7;1696;5525.76;13345;5.619;4.5038;90.1;122;114.37;1223;5.614;0.4916;61.4;27;28.08;122;5.791;0.2375;118.8;237;5.24;3826;5.786;2.5729;102.9;3826;17703.24;213;5.925;2.3929;95.7;1739;2430.21;1223;5.922;0.1801;90.1;73;177.5;1739;6.166;1.2478;99.8;1196;675.23;1032;6.17;0.2374;118.7;150;13.45;1196;6.334;0.2419;121;95;137.37;1587;6.372;0.8394;104.9;35;27.9;117;6.369;4.7009;94;117;77.88;1223;6.547;0.2198;109.9;197;30.47;1681;6.551;1.1814;94.5;1681;9580.51;762;6.628;0.2059;102.9;21;8.39;865;6.619;5.1156;102.3;865;737.18;1369;6.713;0.2697;134.9;106;36.78;1587;6.679;2.5648;102.6;1587;1329.74;1369;6.768;0.1345;67.3;14;12.11;762;6.756;5.2776;105.6;762;722.33;1369;6.91;0.2308;115.4;202;22.13;1386;6.904;1.2404;99.2;1386;7017.61;762;6.996;0.851;106.4;3450;1618.39;13345;7.09;0.197;98.5;86;97.73;1587;7.264;1.1921;95.4;1405;2359.66;762;7.261;0.21;105;147;10;1405;7.451;0.1975;98.8;81;96.67;1587;7.61;0.222;111;169;11.86;1559;7.719;0.6981;87.3;1546;746.5;13345;7.948;0.22;110;176;214.78;1559;7.953;1.1784;94.3;1559;7807.18;762;8.431;0.2048;102.4;306;262.65;5432;8.508;2.6058;104.2;5432;34974.46;1369;9.709;1.9905;99.5;376;58.42;6672;9.798;29.2712;117.1;6672;4833.05;1369;9.807;0.2438;121.9;151;85.82;1419;9.921;2.6525;106.1;1419;9089.12;1369;10.071;1.9859;99.3;432;63.36;7827;10.115;0.1838;91.9;42;7.22;1547;10.147;32.4939;130;7827;2381.03;1369;10.262;2.8544;114.2;1547;3294.01;1369
;!;CS2;TestCalib_09122025_5.d;Cal;L2;12-9-2025 13:03;3.125;9.961;99.6;21025;4954.13;7946;3.128;2.1322;106.6;2928;164.77;21025;4.263;5.0828;101.7;11504;17450.04;5596;4.267;1.0561;105.6;1542;909.61;11504;4.724;1.9699;98.5;215;542.87;205;4.72;5.2732;105.5;205;136.41;1179;4.883;2.5764;103.1;7030;5570.27;5596;4.88;0.4996;99.9;1068;213.9;7030;4.929;2.6145;104.6;3091;2805.61;1179;4.933;0.5683;113.7;420;883.38;3091;5.08;2.1521;107.6;2063;1069.51;13434;5.085;9.9117;99.1;13434;26396.15;5596;5.374;2.4817;99.3;4649;946.23;5596;5.378;0.5311;106.2;731;78.52;4649;5.47;0.6017;120.3;299;1273.14;1752;5.532;2.0806;104;4590;2350.9;13434;5.627;5.7412;114.8;150;270.87;1179;5.68;1.8041;90.2;122;97.9;150;5.782;0.5691;113.8;575;7.87;3867;5.786;2.5118;100.5;3867;50291.05;221;5.925;2.4997;100;1752;8266.08;1179;5.878;0.5596;111.9;230;214.51;1752;6.166;1.3752;110;1304;1218.13;1021;6.17;0.5582;111.6;385;85.46;1304;6.334;0.5285;105.7;223;145.95;1705;6.364;2.3077;115.4;88;108.81;107;6.369;4.4573;89.1;107;101.17;1179;6.539;0.5004;100.1;464;97.01;1739;6.543;1.2253;98;1739;3599.31;760;6.604;0.5177;103.5;51;94.55;839;6.611;4.7479;95;839;1373.48;1430;6.671;0.6015;120.3;253;70.98;1705;6.679;2.6374;105.5;1705;2444.75;1430;6.776;0.7747;154.9;79;19.91;743;6.756;4.9232;98.5;743;493.63;1430;6.902;0.5499;110;483;38.31;1389;6.904;1.2463;99.7;1389;4518.41;760;6.996;2.127;106.3;8680;7874.52;13434;7.091;0.5379;107.6;252;158.47;1705;7.256;1.2078;96.6;1420;1076.03;760;7.253;0.5877;117.5;417;22.63;1420;7.442;0.4107;82.1;181;95.11;1705;7.602;0.598;119.6;453;62.67;1551;7.719;1.8508;92.5;4126;529.53;13434;7.948;0.5667;113.3;451;90.66;1551;7.945;1.1753;94;1551;6558.66;760;8.431;0.503;100.6;745;369.09;5381;8.508;2.4699;98.8;5381;87147.04;1430;9.709;5.0773;101.5;868;321.54;6040;9.798;25.3561;101.4;6040;10749.09;1430;9.807;0.5655;113.1;345;105.4;1400;9.929;2.5047;100.2;1400;1095.3;1430;10.071;5.3064;106.1;932;139.15;6323;10.115;0.5635;112.7;119;25.15;1441;10.147;25.1208;100.5;6323;1512.2;1430;10.262;2.5444;101.8;1441;4826.84;1430
;!;CS3;TestCalib_09122025_7.d;Cal;L3;12-9-2025 13:34;3.133;9.9688;99.7;21407;5373.29;8084;3.128;5.0301;100.6;7033;491.69;21407;4.263;5.1586;103.2;11929;33714.88;5718;4.267;2.5045;100.2;3793;1526.34;11929;4.724;5.1979;104;559;1697.71;202;4.728;4.8449;96.9;202;137.77;1265;4.883;2.4229;96.9;6755;6371.86;5718;4.88;1.2717;101.7;2611;1536.58;6755;4.929;2.4312;97.2;3082;29885.3;1265;4.933;1.3175;105.4;971;241.97;3082;5.08;5.2149;104.3;5012;2094.01;13469;5.085;9.7265;97.3;13469;68259.55;5718;5.374;2.448;97.9;4685;969.65;5718;5.378;1.1838;94.7;1642;182.75;4685;5.478;1.5377;123;768;9588.03;1763;5.532;4.9265;98.5;10898;2304.9;13469;5.611;4.7823;95.6;134;276.52;1265;5.614;4.6869;93.7;283;276.47;134;5.704;1.262;101;1330;33.69;4035;5.786;2.4135;96.5;4035;8145.88;239;5.925;2.3458;93.8;1763;2726.58;1265;5.878;1.3202;105.6;545;236.69;1763;6.174;1.0953;87.6;1236;140.03;1215;6.103;1.4077;112.6;920;119.27;1236;6.334;1.3237;105.9;524;633.54;1600;6.372;5.5228;110.5;248;191.06;126;6.361;4.8941;97.9;126;68.28;1265;6.539;1.2356;98.8;1180;149.41;1791;6.543;1.2312;98.5;1791;4768.59;779;6.53;1.3906;111.2;133;179.21;818;6.611;4.4023;88;818;657.93;1504;6.671;1.4157;113.3;559;57.71;1600;6.679;2.353;94.1;1600;996.4;1504;6.768;1.0579;84.6;110;25.64;751;6.756;4.7359;94.7;751;1019.13;1504;6.902;1.2404;99.2;1084;57.29;1382;6.904;1.2099;96.8;1382;5207.58;779;6.996;5.2532;105.1;21494;21312.44;13469;7.091;1.4523;116.2;637;1193.39;1600;7.256;1.2466;99.7;1502;1179.1;779;7.261;1.2539;100.3;941;41.23;1502;7.442;1.2094;96.8;500;1150.12;1600;7.602;1.5275;122.2;1177;2646.81;1578;7.719;4.5232;90.5;10110;1307.93;13469;7.948;1.3303;106.4;1077;257.43;1578;7.953;1.1666;93.3;1578;298.73;779;8.431;1.2752;102;1935;302.55;5511;8.508;2.4055;96.2;5511;1177.51;1504;9.709;12.3847;99.1;2116;279.72;6037;9.798;24.1034;96.4;6037;16462.33;1504;9.807;1.3494;108;824;245.81;1403;9.929;2.387;95.5;1403;5120.12;1504;10.071;12.0831;96.7;2083;170.23;6207;10.108;1.2784;102.3;267;79.64;1424;10.147;23.4492;93.8;6207;8589.71;1504;10.262;2.3904;95.6;1424;3411.07;1504
;!;CS4;TestCalib_09122025_9.d;Cal;L4;12-9-2025 14:05;3.142;9.9617;99.6;20762;10494.44;7846;3.136;9.5461;95.5;12945;1141.72;20762;4.263;4.9076;98.2;11274;28315.03;5680;4.259;4.787;95.7;6852;2208.98;11274;4.724;7.8362;78.4;922;1260.62;221;4.72;5.6861;113.7;221;218.63;1179;4.883;2.463;98.5;6822;7826.26;5680;4.88;2.3077;92.3;4784;815.13;6822;4.929;2.6727;106.9;3159;10360.27;1179;4.933;2.3778;95.1;1796;747.06;3159;5.08;9.4225;94.2;9582;6669.32;14251;5.076;10.3597;103.6;14251;29872.16;5680;5.374;2.4249;97;4611;67247.3;5680;5.378;2.354;94.2;3213;370.13;4611;5.47;2.7963;111.9;1429;1391.61;1803;5.532;8.9802;89.8;21019;4297.4;14251;5.619;5.3981;108;141;159.55;1179;5.68;9.4547;94.5;601;691.08;141;5.704;2.3614;94.5;2467;102.75;4001;5.786;2.5779;103.1;4001;4472.82;222;5.917;2.5734;102.9;1803;15696.37;1179;5.878;2.4698;98.8;1042;823.04;1803;6.166;1.2126;97;1267;895.22;1125;6.103;2.5536;102.1;1711;602.85;1267;6.325;2.9632;118.5;1221;1744.13;1665;6.364;8.8642;88.6;417;443.87;132;6.369;5.5;110;132;155.58;1179;6.539;2.2135;88.5;2079;416.42;1762;6.543;1.2975;103.8;1762;2967.42;727;6.53;2.4101;96.4;245;305.24;872;6.611;4.7082;94.2;872;719.94;1499;6.671;2.4108;96.4;992;80.37;1665;6.679;2.4572;98.3;1665;3047.17;1499;6.755;2.2064;88.3;234;32.55;771;6.756;4.8757;97.5;771;867.92;1499;6.902;2.2297;89.2;2088;137.68;1481;6.904;1.3892;111.1;1481;3838.2;727;6.996;9.3744;93.7;40585;6140.32;14251;7.088;2.639;105.6;1205;257.09;1665;7.256;1.2797;102.4;1439;1009.55;727;7.253;2.5925;103.7;1864;158.16;1439;7.442;2.1936;87.7;944;514.05;1665;7.602;2.9485;117.9;2280;1425;1584;7.719;8.103;81;19164;3764.3;14251;7.948;2.6746;107;2173;286.04;1584;7.945;1.2544;100.4;1584;5741.56;727;8.431;2.3116;92.5;3544;474.31;5567;8.5;2.4382;97.5;5567;53204.46;1499;9.709;23.774;95.1;4022;534.44;5978;9.798;23.9455;95.8;5978;9311.55;1499;9.807;2.5862;103.4;1600;515.01;1422;9.929;2.4264;97.1;1422;8236.23;1499;10.071;23.8632;95.5;4166;212.29;6285;10.108;2.4225;96.9;506;568.25;1424;10.147;23.8222;95.3;6285;2346.6;1499;10.262;2.3982;95.9;1424;241.61;1499
