Sample;;;;;;;13C4-PFBA Results;;;;PFBA Results;;;;13C5-PFPeA Results;;;;PFPeA Results;;;;4:2 FTS Results;;;;13C2-4:2FTS Results;;;;13C5-PFHxA Results;;;;PFHxA Results;;;;13C3-PFBS Results;;;;PFBS Results;;;;13C3-HFPO-DA Results;;;;HFPO-DA Results;;;;PFPHpA Results;;;;13C4-PFHpA Results;;;;PFPeS Results;;;;ADONA Results;;;;6:2 FTS Results;;;;13C2-6:2FTS Results;;;;13C8-PFOA Results;;;;PFOA Results;;;;PFHxS Results;;;;13C3-PFHxS Results;;;;PFNA Results;;;;13C9-PFNA Results;;;;PFHpS Results;;;;8:2 FTS Results;;;;13C2-8:2FTS Results;;;;13C6-PFDA Results;;;;PFDA Results;;;;D3-NMeFOSAA Results;;;;NMeFOSAA Results;;;;PFOS Results;;;;13C8-PFOS Results;;;;D5-NEtFOSAA Results;;;;NEtFOSAA Results;;;;PFUnA Results;;;;13C7-PFUnA Results;;;;9Cl-PF3ONS Results;;;;PFNS Results;;;;PFDoA Results;;;;13C2-PFDoA Results;;;;PFDS Results;;;;PFTrDA Results;;;;11Cl-PF3OUdS Results;;;;13C2-PFTeDA Results;;;;PFTeDA Results;;;;PFOSA Results;;;;13C8-PFOSA Results;;;;D7-NMeFOSE Results;;;;NMeFOSE Results;;;;NMeFOSA Results;;;;D3-NMeFOSA Results;;;;NEtFOSA Results;;;;D9-NEtFOSE Results;;;;NEtFOSE Results;;;;D5-NEtFOSA Results;;;
;;Name;Data File;Type;Level;Acq. Date-Time;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N
!;!;spoel;1.d;Sample;;6/23/2025 2:35 PM;2.884;3.132;;2.69;3.003;2320.6938;;23.13;4.296;0.3525;;6.08;4.47;234.2531;;2.67;4.782;1.0893;;7.59;4.753;27.406;;21.03;4.847;0.7763;;24.5;5.477;852.3196;;62.39;4.971;4.5789;;5.07;5.007;2.5216;;7.36;5.167;1.4305;;6.15;5.105;4.0194;;10.68;5.215;5.5252;;5.04;5.539;0.9909;;14.35;5.577;0.308;;1.51;5.591;3.8869;;15.27;5.648;0.6532;;4.86;5.685;27.8232;;14.91;5.754;0.3413;;3.81;5.807;210.5303;;4.66;5.921;5.068;;19.51;5.95;6.6525;;1.56;6.137;5.8563;;3.01;6.298;3.2106;;86.1;6.432;1.3112;;1.95;6.364;48.4174;;1.74;6.418;5.4168;;5.51;6.797;0.1229;;2.29;6.555;28.313;;3.4;6.627;7.4408;;7.98;6.571;2.244;;11.15;6.803;5.4664;;3.22;6.798;1.4452;;1.68;6.882;10.7507;;120.49;6.874;6.7435;;47.38;7.206;0.2891;;1.06;6.732;18.8653;;156.07;7.061;4.5079;;2.01;7.205;3.4017;;4.08;7.245;0.6648;;4.75;7.199;12.4693;;200.15;7.567;11.7458;;17.62;7.727;0.5156;;4.34;7.893;1.5805;;2.59;7.986;7.1385;;56.85;8.065;0.1604;;2.09;8.486;0.0221;;6.68;8.419;253.4473;;791.42;9.715;3617.8808;;528.13;9.788;0.347;;5.08;9.903;0.0053;;1.56;9.855;194.9706;;14.56;9.974;0.1381;;21.75;10.073;3057.3373;;629.51;10.092;1.1696;;7.26;10.204;146.541;;36.32
!;!;blanco;2.d;Sample;;6/23/2025 2:50 PM;3.2;9.9964;;7505.78;3.136;0.008;;1.68;4.288;4.7886;;16025.03;4.312;0.0028;;2.87;4.765;0.0014;;56.12;4.736;2.9356;;8317.77;4.921;2.4858;;5765.9;4.934;0.0063;;7.09;4.979;2.5394;;25446.32;4.974;0.0011;;9.66;5.118;10.2774;;8997.65;5.114;0.0006;;29.67;5.421;0.0023;;3.66;5.415;2.4977;;24641.16;5.544;0.0008;;14.89;5.591;0;;8.34;5.458;0.0253;;81.74;5.66;3.3596;;5795.67;5.836;2.5415;;47398.64;5.848;0.0149;;5.61;5.987;0.0027;;18.97;5.991;2.5758;;7614.39;6.228;0.0022;;2.59;6.224;1.2555;;10517.86;6.466;0.0002;;1.72;6.414;0.0033;;4.88;6.418;3.4378;;7461.43;6.609;1.2001;;26814.71;6.522;0.0023;;2.94;6.668;4.2488;;66124.01;6.686;0.0031;;153.36;6.82;0.0137;;44.49;6.798;2.3934;;8948.75;6.849;4.2252;;6198.8;6.874;0.0045;;23.26;6.959;0.0044;;4.04;6.986;1.1993;;22339.09;7.135;0.0002;;2.85;7.123;0.0007;;13.17;7.425;0.0061;;46.72;7.355;1.2035;;20933.61;7.558;0.0009;;21.28;7.884;0.0013;;7.61;7.835;0.0001;;2.63;8.069;1.1873;;1404.14;8.024;0.0032;;1.98;8.486;0.0059;;182.92;8.492;2.492;;1656.13;9.724;29.6478;;9398.91;9.746;0.0123;;8.57;9.878;0.0004;;6.49;9.855;2.5787;;821.3;9.999;0.0007;;2.04;10.073;30.9179;;5145.72;9.802;0.0071;;1.42;10.195;2.689;;5576.16
;!;EPA 1;3.d;Cal;L1;6/23/2025 3:06 PM;3.2;10.0412;100.4;13934.63;3.203;0.6675;83.4;341;4.288;4.8606;97.2;11815.43;4.292;0.3699;92.5;390.05;4.732;0.7993;99.9;2395.02;4.736;3.206;64.1;5881.62;4.921;2.4956;99.8;5556.99;4.925;0.1754;87.7;9558.21;4.979;2.5192;100.8;23556.4;4.974;0.1751;87.5;1905.57;5.11;10.4375;104.4;12275.66;5.114;0.6589;82.4;1198.63;5.412;0.1944;97.2;107.42;5.415;2.4771;99.1;25679.97;5.536;0.1619;80.9;526.54;5.574;0.6589;82.4;1162.13;5.656;0.9166;114.6;884.49;5.66;3.2275;64.5;10173.57;5.836;2.6732;106.9;156199.77;5.84;0.1666;83.3;34.71;5.979;0.1697;84.8;655.53;5.991;2.5282;101.1;14092.14;6.228;0.1725;86.2;50.73;6.232;1.2274;98.2;7219.9;6.4;0.2003;100.1;720.64;6.422;0.7059;88.2;2858.13;6.418;3.8406;76.8;4557.69;6.609;1.2928;103.4;7720.29;6.612;0.1603;80.2;59.69;6.668;4.7882;95.8;4283.63;6.678;0.1687;84.4;308.57;6.812;0.1733;86.6;368.28;6.806;2.461;98.4;7227.51;6.849;4.5997;92;18815.72;6.85;0.1605;80.2;763.04;6.992;0.1749;87.5;65.81;6.986;1.3191;105.5;5994.7;7.094;0.725;90.6;1055.89;7.181;0.1737;86.9;1077.91;7.351;0.1682;84.1;395.3;7.355;1.2901;103.2;84589.03;7.567;0.1564;78.2;473.93;7.727;0.1671;83.5;108.18;7.844;0.1667;83.3;4182.01;8.077;1.2564;100.5;9908.87;8.073;0.1617;80.9;141.78;8.494;0.193;96.5;787.99;8.492;2.4168;96.7;6722.8;9.724;28.3246;113.3;16753.08;9.746;5.6692;283.5;618.05;9.861;0.1574;78.7;279.91;9.855;2.5426;101.7;777.43;10.048;0.167;83.5;165.75;10.073;29.2829;117.1;6522.68;10.1;6.144;307.2;2297.92;10.195;2.5911;103.6;881.42
;!;EPA 2 ;4.d;Cal;L2;6/23/2025 3:21 PM;3.208;9.9619;99.6;5350;3.211;1.9208;96;1656.23;4.288;5.0169;100.3;30153.69;4.292;1.042;104.2;1224.15;4.74;2.3023;115.1;1997.31;4.744;3.51;70.2;5152.42;4.921;2.5067;100.3;29371.93;4.925;0.4679;93.6;676.84;4.979;2.5399;101.6;11920.45;4.983;0.5023;100.5;1359.4;5.118;10.4051;104.1;8706.8;5.122;1.9182;95.9;1663.54;5.412;0.546;109.2;268.76;5.415;2.484;99.4;64464.01;5.536;0.4872;97.4;1329.39;5.574;1.8615;93.1;183969.34;5.664;2.1594;108;1282.35;5.66;3.6542;73.1;5185.39;5.836;2.414;96.6;92278.27;5.84;0.4782;95.6;121.65;5.996;0.4484;89.7;1501.88;5.991;2.5439;101.8;12416.11;6.228;0.4815;96.3;271.44;6.232;1.2943;103.5;9852.93;6.408;0.5687;113.7;1860.4;6.414;2.3514;117.6;2601.47;6.426;3.6447;72.9;2515.73;6.609;1.271;101.7;1136.47;6.612;0.4978;99.6;242.33;6.677;5.0156;100.3;25247.21;6.678;0.4986;99.7;635.27;6.803;0.5191;103.8;820.89;6.806;2.5881;103.5;5557.54;6.849;5.1029;102.1;12042.71;6.858;0.3874;77.5;57.26;6.984;0.498;99.6;190.9;6.986;1.2813;102.5;19175.82;7.102;2.0143;100.7;10048.92;7.197;0.5057;101.1;3687.94;7.359;0.4598;92;1124.5;7.355;1.2647;101.2;1059.23;7.567;0.4722;94.4;1422.78;7.727;0.4857;97.1;277.35;7.844;0.4751;95;5302.01;8.077;1.2164;97.3;11442.99;8.082;0.4856;97.1;115.82;8.494;0.5336;106.7;5332.49;8.492;2.4761;99;11297.24;9.724;24.6967;98.8;6279.32;9.746;16.6274;332.5;707.93;9.861;0.4692;93.8;1051.56;9.855;2.4766;99.1;10529.39;10.048;0.4037;80.7;879.07;10.073;25.3933;101.6;12251.92;10.1;16.1474;322.9;4466.21;10.195;2.4852;99.4;4137.18
;!;EPA 3;5.d;Cal;L3;6/23/2025 3:36 PM;3.208;9.9863;99.9;12710.76;3.211;4.3186;86.4;3720.87;4.296;5.0886;101.8;7554.81;4.292;2.3498;94;10922.96;4.74;5.281;105.6;18151.71;4.744;3.5904;71.8;8117.08;4.93;2.5011;100;22117.76;4.925;1.0667;85.3;1941.76;4.987;2.5731;102.9;32110.54;4.983;1.1681;93.4;6152.98;5.118;10.3788;103.8;29893.21;5.122;4.1887;83.8;4468.66;5.421;1.2139;97.1;943.62;5.415;2.439;97.6;6359.56;5.536;1.1193;89.5;4701.13;5.583;4.1316;82.6;138909.24;5.664;5.1702;103.4;6688.19;5.669;3.8056;76.1;2282.14;5.844;2.5576;102.3;91372.25;5.84;1.0812;86.5;122.09;5.996;1.1117;88.9;5189.33;5.991;2.4817;99.3;875.45;6.236;1.1215;89.7;304.43;6.232;1.2205;97.6;5586.82;6.408;1.2346;98.8;322.95;6.43;5.3006;106;7553.42;6.435;3.7973;75.9;4064.7;6.617;1.2377;99;1309.71;6.612;1.052;84.2;372.52;6.677;4.758;95.2;1173.76;6.686;1.0279;82.2;3551.33;6.812;1.1353;90.8;219.75;6.806;2.5079;100.3;2348.11;6.857;4.5985;92;10015.3;6.866;0.8505;68;305.27;6.992;1.1747;94;992.69;6.995;1.1849;94.8;20649.36;7.102;4.4511;89;5603.89;7.197;1.1095;88.8;3330.32;7.359;1.1067;88.5;491.32;7.355;1.2165;97.3;17772.94;7.567;1.099;87.9;4776.48;7.727;1.043;83.4;903.77;7.852;1.0774;86.2;4044.08;8.077;1.2021;96.2;16210.41;8.082;1.0132;81.1;946.09;8.494;1.1854;94.8;5144.25;8.5;2.4282;97.1;52594.55;9.724;24.3267;97.3;4295.83;9.746;36.2019;289.6;1932.38;9.861;1.0609;84.9;1445.46;9.855;2.3853;95.4;758.71;10.048;1.0091;80.7;665.8;10.073;24.5796;98.3;14071.92;10.1;34.4188;275.4;2143.19;10.195;2.4455;97.8;3341.77
;!;EPA 4;6.d;Cal;L4;6/23/2025 3:51 PM;3.208;9.9499;99.5;17668.22;3.211;9.1347;91.3;4133.65;4.296;5.0425;100.9;8752.31;4.301;5.0425;100.9;7618.65;4.749;10.7798;107.8;23329.72;4.744;3.8237;76.5;1369.43;4.93;2.507;100.3;16760.96;4.934;2.2736;90.9;4321.98;4.987;2.5596;102.4;33491.6;4.983;2.3261;93;22587.23;5.118;10.0241;100.2;10534.37;5.122;9.6717;96.7;29503.39;5.421;2.536;101.4;1431.05;5.423;2.523;100.9;5312.97;5.536;2.3067;92.3;24821.25;5.583;9.1593;91.6;18225.78;5.672;10.63;106.3;6948.09;5.669;3.9283;78.6;12815.37;5.844;2.473;98.9;3674.59;5.84;2.3444;93.8;182.92;5.996;2.3827;95.3;5023.35;5.999;2.4799;99.2;37925.78;6.236;2.3178;92.7;1354.3;6.232;1.2533;100.3;1060.61;6.408;2.8158;112.6;4875.19;6.422;11.139;111.4;12019.47;6.426;3.9398;78.8;4627.25;6.617;1.23;98.4;23003.25;6.612;2.2865;91.5;678.69;6.677;4.8913;97.8;14954.54;6.678;2.2291;89.2;442.5;6.812;2.3428;93.7;4043.39;6.806;2.5035;100.1;27666.76;6.857;5.1461;102.9;16916.61;6.858;1.7596;70.4;625.29;6.992;2.4868;99.5;1145.29;6.995;1.2358;98.9;1044.58;7.102;9.7897;97.9;16928.31;7.197;2.4018;96.1;12783.16;7.359;2.246;89.8;1322.12;7.355;1.2674;101.4;11429.15;7.575;2.3183;92.7;10686.21;7.727;2.2825;91.3;2143.48;7.852;2.3762;95;11422.86;8.085;1.2061;96.5;19166.06;8.082;2.1969;87.9;683.13;8.494;2.4993;100;3389.37;8.5;2.4858;99.4;10045.9;9.724;24.5811;98.3;17936.58;9.746;68.5892;274.4;7381.17;9.861;2.2782;91.1;8740.9;9.855;2.4677;98.7;2593.13;10.048;2.0988;84;3136.59;10.073;25.0081;100;7264.18;10.1;67.1198;268.5;6196.44;10.195;2.5165;100.7;6974.23
;!;EPA 5;7.d;Cal;L5;6/23/2025 4:07 PM;3.208;9.9888;99.9;18166.38;3.211;17.5725;87.9;5328.75;4.296;5.1151;102.3;6993.47;4.301;9.6631;96.6;28225.96;4.749;19.4519;97.3;7190.79;4.744;4.1196;82.4;17902.47;4.93;2.5038;100.2;6933.03;4.934;4.3568;87.1;12714.59;4.987;2.5939;103.8;11974.66;4.983;4.3776;87.6;2674.77;5.118;9.988;99.9;28457.89;5.122;17.7911;89;18026.39;5.421;5.0194;100.4;4317.09;5.423;2.4317;97.3;5143.12;5.544;4.5038;90.1;18090.23;5.583;17.4624;87.3;41859.93;5.664;19.5783;97.9;27262.76;5.669;4.1861;83.7;19725.22;5.844;2.4676;98.7;4266.13;5.848;4.4507;89;869.74;5.996;4.4981;90;11248.36;5.999;2.492;99.7;20412.15;6.236;4.4256;88.5;983.33;6.232;1.2547;100.4;14685.19;6.416;5.1485;103;17045.2;6.43;19.2454;96.2;18588.01;6.426;4.2115;84.2;5357.99;6.617;1.244;99.5;26722.17;6.612;4.3197;86.4;2809.67;6.677;5.0186;100.4;24089.7;6.686;3.4515;69;5050.69;6.812;4.4939;89.9;5775.67;6.806;2.4483;97.9;701.85;6.857;5.0322;100.6;111772;6.866;3.939;78.8;4856.67;6.992;4.8842;97.7;1474.59;6.986;1.2374;99;72036.5;7.102;17.9082;89.5;80215.93;7.197;4.4966;89.9;2804.84;7.359;4.5016;90;1174.57;7.355;1.2205;97.6;11695.29;7.567;4.4206;88.4;6808.3;7.727;4.4594;89.2;1919.5;7.852;4.4331;88.7;28405.12;8.085;1.2068;96.5;16125.91;8.082;4.2164;84.3;1772.39;8.494;4.8881;97.8;16012.1;8.5;2.3973;95.9;11795.22;9.724;23.8967;95.6;4604.48;9.746;115.1006;92.1;7450.78;9.861;4.2782;85.6;1226.71;9.863;2.3842;95.4;9882.29;10.048;3.9957;79.9;5904.2;10.073;24.0501;96.2;16352.77;10.1;115.4462;92.4;3498.68;10.195;2.4671;98.7;933.46
;!;EPA 6;8.d;Cal;L6;6/23/2025 4:22 PM;3.208;10.0514;100.5;17637.01;3.211;51.2175;102.4;23397.41;4.296;5.052;101;5842.35;4.301;28.3622;113.4;34792.5;4.749;46.2764;92.6;49002.73;4.744;5.2553;105.1;16178.4;4.93;2.4784;99.1;21739.15;4.934;12.8226;102.6;13653.59;4.987;2.519;100.8;16325.8;4.983;12.8482;102.8;6056.95;5.126;10.0026;100;19115.84;5.122;51.2485;102.5;40822.76;5.421;14.2593;114.1;20517.59;5.423;2.5015;100.1;42481.71;5.544;12.5691;100.6;4757.72;5.583;50.3336;100.7;172515.2;5.664;49.0632;98.1;96589.46;5.669;5.1276;102.6;679.07;5.844;2.4892;99.6;17399.62;5.848;12.7691;102.2;934.14;5.996;12.7406;101.9;13819.81;5.999;2.5585;102.3;7972.54;6.236;12.7802;102.2;1420.16;6.24;1.2711;101.7;1023.24;6.416;14.5898;116.7;52820.64;6.43;43.2057;86.4;34642.45;6.426;5.4604;109.2;5869.67;6.609;1.3608;108.9;37031.34;6.621;12.8353;102.7;20165.98;6.677;5.0491;101;1015.08;6.686;12.6052;100.8;19213.26;6.812;12.745;102;1867.18;6.814;2.5145;100.6;7177.24;6.857;4.8817;97.6;10626.08;6.866;12.7513;102;1717.32;6.992;13.9209;111.4;7426.96;6.995;1.3606;108.8;14002.57;7.102;50.1266;100.3;71587.21;7.197;12.5442;100.4;15940.15;7.359;12.8209;102.6;2444.79;7.364;1.3565;108.5;11007.89;7.567;12.5677;100.5;12865.31;7.727;12.8474;102.8;46458.57;7.852;12.5562;100.4;34079.44;8.077;1.4078;112.6;1267.42;8.082;12.6104;100.9;5572.78;8.494;14.1381;113.1;42448.78;8.5;2.4726;98.9;1370.01;9.724;24.2268;96.9;3657.83;9.746;251.5581;503.1;6255.41;9.861;12.5849;100.7;6868.96;9.855;2.427;97.1;647.66;10.048;12.6382;101.1;17339.12;10.073;23.9794;95.9;12125.84;10.1;248.5008;497;22915.31;10.204;2.3678;94.7;3159.65
;!;EPA 7;9.d;Cal;L7;6/23/2025 4:37 PM;3.208;10.0204;100.2;14203.33;3.211;227.322;90.9;74932.15;4.296;4.8242;96.5;5009.5;4.301;124.3286;99.5;523365.27;4.74;111.7311;44.7;84955.03;4.744;11.4952;229.9;39522.06;4.93;2.5073;100.3;121817.96;4.934;56.6717;90.7;292692.99;4.987;2.1954;87.8;12186.36;4.991;62.4885;100;254568.08;5.118;8.7638;87.6;4965.11;5.122;249.9551;100;133711.08;5.421;62.1471;99.4;37715.68;5.423;2.6437;105.7;21253.24;5.536;62.4961;100;204144.65;5.583;249.9849;100;33118.39;5.664;118.317;47.3;232687.61;5.669;11.0707;221.4;24617.34;5.844;2.4253;97;3655.03;5.848;56.7025;90.7;9301.85;5.996;60.2054;96.3;12746.75;5.999;2.4158;96.6;15470.3;6.236;59.1952;94.7;17440.46;6.24;1.2286;98.3;7624.19;6.416;62.0692;99.3;12321.55;6.43;95.8817;38.4;12903.6;6.435;10.1057;202.1;5263.7;6.617;1.1137;89.1;38758.05;6.621;57.7198;92.4;12320.26;6.685;5.4791;109.6;7980.44;6.686;62.4903;100;8490.82;6.812;59.2079;94.7;5921.22;6.814;2.4766;99.1;11035.22;6.857;5.6389;112.8;7136.54;6.866;62.4865;100;5111.2;6.992;62.2179;99.5;13685.46;6.995;1.1309;90.5;10505.44;7.102;249.9934;100;129034.01;7.197;62.4976;100;23424.35;7.359;62.4887;100;16858.23;7.364;1.1342;90.7;8766.86;7.567;62.4969;100;28503.28;7.727;62.485;100;439282.57;7.852;62.4972;100;309607.62;8.077;1.2543;100.3;1682.77;8.082;62.4943;100;15958.29;8.494;62.1734;99.5;20366.06;8.5;2.8233;112.9;7395.81;9.724;24.9473;99.8;3407.28;9.746;625.1182;100;38074.56;9.861;62.4953;100;28402.66;9.863;2.8165;112.7;677.7;10.048;62.4937;100;12968.37;10.073;22.7067;90.8;3919.92;10.1;625.1161;100;16866.02;10.204;2.6267;105.1;3145.9
!;!;spoel;10.d;Sample;;6/23/2025 4:53 PM;3.217;21.5598;;11.49;3.219;36.8124;;28.76;4.288;13.1231;;25.82;4.301;21.3425;;22.95;4.74;9.121;;61.01;4.736;19.3405;;9.08;4.946;4.379;;35.46;4.917;10.4008;;13.13;4.971;2.9565;;19.24;4.991;33.8612;;204.03;5.134;12.0189;;9.72;5.122;11.5876;;88.97;5.429;95.5549;;3.6;5.382;0.2746;;5.93;5.536;41.3727;;11.36;5.574;6.7057;;49.47;5.631;;;40.93;5.339;1.4618;;3.69;5.795;0.2135;;2.21;5.963;62.906;;1.67;6.004;60.2239;;53.75;5.999;0.3243;;1.04;6.261;90.1089;;2.32;6.298;0.3926;;1.17;6.301;3.4692;;3.22;6.479;0.1748;;2;6.369;43.8992;;48.11;6.584;1.4455;;21.09;6.629;0.8032;;2.47;6.783;9.2765;;5.65;6.785;6.911;;4.93;6.918;23.0513;;28.64;6.864;1.8986;;1.42;6.833;145.1976;;91.25;6.956;0.6973;;11.25;6.927;20.1489;;4.12;6.978;0.1838;;6.12;7.07;0.5626;;1.66;7.164;29.1313;;21.96;7.4;2.4756;;5.64;7.355;0.8647;;41.52;7.575;18.4575;;2.75;7.718;31.9042;;12.89;7.86;1.4966;;19.26;8.085;0.2053;;60.52;8.065;32.884;;3.45;8.478;67.9876;;33.81;8.517;2.3052;;14.91;9.732;239.9412;;178.31;9.754;149.3962;;15.19;9.861;3.0711;;13.72;9.846;25.8923;;73.6;10.032;75.2147;;43.1;10.081;163.7177;;10.83;10.092;284.1488;;37.35;10.046;7.1089;;3.47
