Compound,RSE_Percent,Calibration_Points,Relationship_Type,Parameters,Pass_Fail,Sum_Relative_Squared_Error
13C4-PFBA,0.725333578431329,7,linear,2,PASS,5.261087999999968e-05
13C5-PFPeA,1.597641261360009,7,linear,2,PASS,0.0002552457600000001
13C3-HFPO-DA,4.346961122439443,7,linear,2,PASS,0.0018896070999999985
13C3-PFBS,4.889446594452178,7,linear,2,PASS,0.0023906688
13C5-PFHxA,3.1283084246921695,7,linear,2,PASS,0.00097863136
13C2-4:2FTS,74.69099489898363,7,quadratic,3,FAIL,0.5578744719
13C4-PFHpA,2.50961287851334,7,linear,2,PASS,0.0006298156800000011
13C3-PFHxS,6.16415833670745,7,linear,2,PASS,0.0037996847999999957
13C8-PFOA,7.587855560038024,7,linear,2,PASS,0.005757555199999996
13C2-6:2FTS,79.20095589069616,7,quadratic,3,FAIL,0.6272791414000001
13C9-PFNA,6.171348507417159,7,linear,2,PASS,0.00380855424
13C8-PFOSA,4.974712373595079,7,linear,2,PASS,0.002474776319999999
13C8-PFOS,5.462933717335403,7,linear,2,PASS,0.0029843644800000005
D3-NMeFOSA,3.1719566201321254,7,linear,2,PASS,0.001006130880000002
13C6-PFDA,6.388374441123506,7,linear,2,PASS,0.004081132800000007
13C2-8:2FTS,71.67252934004772,7,quadratic,3,FAIL,0.5136951462000001
D5-NEtFOSA,5.557039787512771,7,linear,2,PASS,0.003088069119999998
13C7-PFUnA,10.639991578944038,7,linear,2,PASS,0.011320942080000004
D3-NMeFOSAA,4.570409172054507,7,linear,2,PASS,0.0020888639999999967
D5-NEtFOSAA,11.124608649296386,7,linear,2,PASS,0.012375691759999996
13C2-PFDoA,9.649420127655334,7,linear,2,PASS,0.009311130879999989
D7-NMeFOSE,6.500790369178194,7,linear,2,PASS,0.004226027542399997
D9-NEtFOSE,7.976893398309895,7,linear,2,PASS,0.006363082828799999
13C2-PFTeDA,9.518922291940408,7,linear,2,PASS,0.00906098816
